"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\quiz.css", "CSS", 0, 0, 0, 0, 96, 0, 15, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingPage.js", "JavaScript", 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingTest.js", "JavaScript", 0, 0, 100, 0, 0, 0, 16, 116
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\typingtest.css", "CSS", 0, 0, 0, 0, 62, 0, 10, 72
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Game.js", "JavaScript", 0, 0, 751, 0, 0, 0, 67, 818
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Keyboard.js", "JavaScript", 0, 0, 84, 0, 0, 0, 3, 87
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\TrainingPage.js", "JavaScript", 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\keyboard.css", "CSS", 0, 0, 0, 0, 116, 3, 16, 135
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Admin.js", "JavaScript", 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Users.js", "JavaScript", 0, 0, 189, 0, 0, 0, 15, 204
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\context\AuthProvider.js", "JavaScript", 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\UseAuth.js", "JavaScript", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\UseAxiosPrivate.js", "JavaScript", 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\userRefreshToken.js", "JavaScript", 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\index.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\index.css", "CSS", 0, 0, 0, 0, 795, 0, 134, 929
"Total", "-", 27967, 1, 3403, 17, 1243, 3, 637, 33271
