"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\App.js", "JavaScript", 0, 2, 0, 0, 2
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\ResetPassword.js", "JavaScript", 0, 2, 0, 1, 3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\BadgesPage.js", "JavaScript", 0, -2, 0, 1, -1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\CreateBadge.js", "JavaScript", 0, 4, 0, 0, 4
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\EditBadge.js", "JavaScript", 0, 4, 0, 1, 5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\ImportFile.js", "JavaScript", 0, -84, -17, -23, -124
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\UserBadges.js", "JavaScript", 0, 73, 1, 6, 80
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\UserBadgesPage.js", "JavaScript", 0, 20, 0, 5, 25
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\CreateLevel.js", "JavaScript", 0, 4, 0, 4, 8
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\EditLevel.js", "JavaScript", 0, 4, 0, 2, 6
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\LevelPage.js", "JavaScript", 0, 3, 0, 0, 3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\Levels.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\levelmodals.css", "CSS", 13, 0, 0, 1, 14
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Title.js", "JavaScript", 0, 9, 0, 1, 10
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizEngine.js", "JavaScript", 0, 54, 0, 11, 65
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizPage.js", "JavaScript", 0, -1, 0, 0, -1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\Quizes.js", "JavaScript", 0, 103, 0, 8, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\engineModal.css", "CSS", 62, 0, 0, 9, 71
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\CreateQuote.js", "JavaScript", 0, 4, 0, 1, 5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\EditQuote.js", "JavaScript", 0, 4, 0, 1, 5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\Quotes.js", "JavaScript", 0, 0, 1, 0, 1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteEngine.js", "JavaScript", 0, 46, 0, 9, 55
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteLevels.js", "JavaScript", 0, 103, 0, 8, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingTest.js", "JavaScript", 0, -2, 0, 0, -2
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\typingtest.css", "CSS", -4, 0, 0, -1, -5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\CreateWord.js", "JavaScript", 0, 4, 0, 1, 5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\EditWord.js", "JavaScript", 0, 4, 0, 1, 5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\ImportFile.js", "JavaScript", 0, 86, 17, 23, 126
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\Words.js", "JavaScript", 0, 5, 1, 0, 6
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\index.css", "CSS", 19, 0, 0, 6, 25
"Total", "-", 90, 450, 3, 76, 619
