"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\quiz.css", "CSS", 0, 0, 0, 96, 0, 0, 15, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\CreateQuote.js", "JavaScript", 0, 0, 126, 0, 0, 0, 16, 142
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\EditQuote.js", "JavaScript", 0, 0, 140, 0, 0, 0, 18, 158
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\Quotes.js", "JavaScript", 0, 0, 146, 0, 0, 1, 10, 157
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteEngine.js", "JavaScript", 0, 0, 46, 0, 0, 0, 9, 55
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteLevels.js", "JavaScript", 0, 0, 103, 0, 0, 0, 8, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingPage.js", "JavaScript", 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingTest.js", "JavaScript", 0, 0, 118, 0, 0, 0, 21, 139
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\typingtest.css", "CSS", 0, 0, 0, 58, 0, 0, 9, 67
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Game.js", "JavaScript", 0, 0, 751, 0, 0, 0, 67, 818
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\GameModal.js", "JavaScript", 0, 0, 22, 0, 0, 1, 7, 30
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Keyboard.js", "JavaScript", 0, 0, 84, 0, 0, 0, 3, 87
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\TrainingPage.js", "JavaScript", 0, 0, 34, 0, 0, 1, 5, 40
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\keyboard.css", "CSS", 0, 0, 0, 116, 0, 3, 16, 135
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Admin.js", "JavaScript", 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\EditUser.js", "JavaScript", 0, 0, 146, 0, 0, 0, 22, 168
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Users.js", "JavaScript", 0, 0, 203, 0, 0, 0, 15, 218
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\CreateWord.js", "JavaScript", 0, 0, 94, 0, 0, 0, 15, 109
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\EditWord.js", "JavaScript", 0, 0, 105, 0, 0, 0, 17, 122
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\ImportFile.js", "JavaScript", 0, 0, 86, 0, 0, 17, 23, 126
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\Words.js", "JavaScript", 0, 0, 147, 0, 0, 1, 10, 158
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\context\AuthProvider.js", "JavaScript", 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\UseAuth.js", "JavaScript", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\UseAxiosPrivate.js", "JavaScript", 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\useRefreshToken.js", "JavaScript", 0, 0, 31, 0, 0, 0, 8, 39
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\index.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\NavBarNew.css", "CSS", 0, 0, 0, 282, 0, 6, 0, 288
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\index.css", "CSS", 0, 0, 0, 745, 0, 0, 134, 879
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\login.css", "CSS", 0, 0, 0, 253, 0, 0, 38, 291
"Total", "-", 28361, 1, 5365, 1864, 17, 44, 986, 36638
