"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\Register.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\InspectBadge.js", "JavaScript", 0, 2, 0, -1, 1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\GameComponent.js", "JavaScript", 0, 0, 0, -1, -1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Notes\NotesPage.js", "JavaScript", 0, 2, 0, -2, 0
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizEngine.js", "JavaScript", 0, -1, 0, 0, -1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\Quizes.js", "JavaScript", 0, 14, 0, 1, 15
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteEngine.js", "JavaScript", 0, -1, 0, 0, -1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteLevels.js", "JavaScript", 0, 14, 0, 1, 15
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Users.js", "JavaScript", 0, 3, 0, 0, 3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\index.css", "CSS", 4, 0, 0, 1, 5
"Total", "-", 4, 34, 0, -1, 37
