"filename", "language", "Markdown", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\QuizTimer\AnswerTimer.js", "JavaScript", 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\QuizTimer\timer.css", "CSS", 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\Quiz.js", "JavaScript", 0, 145, 0, 0, 0, 0, 23, 168
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizEngine.js", "JavaScript", 0, 54, 0, 0, 0, 0, 11, 65
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizPage.js", "JavaScript", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\Quizes.js", "JavaScript", 0, 154, 0, 0, 0, 0, 11, 165
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\constants.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\engineModal.css", "CSS", 0, 0, 62, 0, 0, 0, 9, 71
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\quiz.css", "CSS", 0, 0, 96, 0, 0, 0, 15, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\CreateQuote.js", "JavaScript", 0, 125, 0, 0, 0, 0, 16, 141
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\EditQuote.js", "JavaScript", 0, 140, 0, 0, 0, 0, 18, 158
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\Quotes.js", "JavaScript", 0, 174, 0, 0, 0, 1, 11, 186
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteEngine.js", "JavaScript", 0, 53, 0, 0, 0, 0, 10, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteLevels.js", "JavaScript", 0, 154, 0, 0, 0, 0, 11, 165
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingPage.js", "JavaScript", 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingTest.js", "JavaScript", 0, 126, 0, 0, 0, 1, 22, 149
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\typingtest.css", "CSS", 0, 0, 58, 0, 0, 0, 9, 67
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Game.js", "JavaScript", 0, 753, 0, 0, 0, 0, 67, 820
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\GameModal.js", "JavaScript", 0, 19, 0, 0, 0, 1, 7, 27
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Keyboard.js", "JavaScript", 0, 84, 0, 0, 0, 0, 3, 87
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\TrainingPage.js", "JavaScript", 0, 38, 0, 0, 0, 1, 7, 46
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\keyboard.css", "CSS", 0, 0, 120, 0, 0, 3, 17, 140
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Admin.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\EditUser.js", "JavaScript", 0, 146, 0, 0, 0, 0, 22, 168
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\TopUsers.js", "JavaScript", 0, 75, 0, 0, 0, 0, 9, 84
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Users.js", "JavaScript", 0, 230, 0, 0, 0, 0, 18, 248
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\CreateWord.js", "JavaScript", 0, 94, 0, 0, 0, 0, 15, 109
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\EditWord.js", "JavaScript", 0, 105, 0, 0, 0, 0, 17, 122
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\ImportFile.js", "JavaScript", 0, 88, 0, 0, 0, 17, 24, 129
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\Words.js", "JavaScript", 0, 177, 0, 0, 0, 1, 11, 189
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\context\AuthProvider.js", "JavaScript", 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\UseAuth.js", "JavaScript", 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\UseAxiosPrivate.js", "JavaScript", 0, 56, 0, 0, 0, 0, 7, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\useRefreshToken.js", "JavaScript", 0, 31, 0, 0, 0, 0, 8, 39
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\NavBarNew.css", "CSS", 0, 0, 283, 0, 0, 6, 0, 289
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\index.css", "CSS", 0, 0, 824, 0, 0, 0, 149, 973
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\login.css", "CSS", 0, 0, 253, 0, 0, 0, 38, 291
"Total", "-", 1, 5777, 1963, 17, 28361, 45, 1032, 37196
